Date,Combined_Portfolio,ISONE
2018-04-12,4655.63,4655.63
2018-04-13,-1066.156,-1066.156
2018-04-14,3973.354,3973.354
2018-04-15,-2205.882,-2205.882
2018-04-16,-15514.338,-15514.338
2018-04-17,4970.7,4970.7
2018-04-18,9399.418,9399.418
2018-04-19,12067.579999999998,12067.579999999998
2018-04-20,-2595.5439999999994,-2595.5439999999994
2018-04-21,6579.523999999999,6579.523999999999
2018-04-22,4726.147999999999,4726.147999999999
2018-04-23,2284.394,2284.394
2018-04-24,8540.993999999999,8540.993999999999
2018-04-25,3184.874,3184.874
2018-04-26,2778.3559999999998,2778.3559999999998
2018-04-27,2088.645999999999,2088.645999999999
2018-04-28,-4454.5199999999995,-4454.5199999999995
2018-04-29,-1621.1020000000003,-1621.1020000000003
2018-04-30,-907.858,-907.858
2018-05-01,2411.962,2411.962
2018-05-02,2285.976,2285.976
2018-05-03,327.44600000000014,327.44600000000014
2018-05-04,1160.7959999999998,1160.7959999999998
2018-05-05,1783.2219999999993,1783.2219999999993
2018-05-06,4229.526,4229.526
2018-05-07,-414.17599999999993,-414.17599999999993
2018-05-08,5960.4439999999995,5960.4439999999995
2018-05-09,1015.2660000000001,1015.2660000000001
2018-05-10,4009.474,4009.474
2018-05-11,2667.7699999999995,2667.7699999999995
2018-05-12,289.31,289.31
2018-05-13,4675.355999999999,4675.355999999999
2018-05-14,490.33600000000024,490.33600000000024
2018-05-15,-3731.3640000000005,-3731.3640000000005
2017-02-14,2521.2599999999998,2521.2599999999998
2017-02-15,680.386,680.386
2017-02-16,1588.3979999999997,1588.3979999999997
2017-02-17,3466.4699999999993,3466.4699999999993
2017-02-18,-458.00999999999993,-458.00999999999993
2017-02-19,-3826.0459999999994,-3826.0459999999994
2017-02-20,2537.514,2537.514
2017-02-21,2507.75,2507.75
2017-02-22,523.558,523.558
2017-02-23,1779.4559999999997,1779.4559999999997
2017-02-24,1613.0939999999996,1613.0939999999996
2017-02-25,2686.669999999999,2686.669999999999
2017-02-26,2544.6820000000002,2544.6820000000002
2017-02-27,1991.2899999999997,1991.2899999999997
2017-02-28,2718.982,2718.982
